-DOCSTART- -X- -X- O
apprehended VBN VBN O
. . . O
Clause NN NN O
( ( ( O
aa NN NN O
) ) ) O
was VBD VBD O
inserted VBN VBN O
in IN IN O
subsection NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
S NNP NNP I-LC
. . . I-LC
31 CD CD I-LC
by IN IN I-LC
S NNP NNP I-LC
. . . I-LC
19 CD CD I-LC
of IN IN I-LC
Act NNP NNP I-LC
43 CD CD I-LC
of IN IN I-LC
1985 CD CD I-LC
. . . I-LC
Section NN NN I-LC
32 CD CD I-LC
of IN IN O

concern NN NN O
from IN IN O
transferring VBG VBG O
or CC CC O
removing VBG VBG O
its PRP$ PRP$ O
machinery NN NN O
or CC CC O
plaint NN NN O
or CC CC O
equipment NN NN O
from IN IN O
the DT DT O
premises NNS NNS O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
without IN IN O
the DT DT O
permission NN NN O
of IN IN O
the DT DT O
Board NNP NNP O
where WRB WRB O
such JJ JJ O
removal NN NN O
is VBZ VBZ O
apprehended VBN VBN O
. . . O
Clause NN NN O
( ( ( O
aa NN NN O
) ) ) O
was VBD VBD O
inserted VBN VBN O
in IN IN O
subsection NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
S NNP NNP I-LC
. . . O
31 CD CD I-LC
by IN IN I-LC
S NNP NNP I-LC
. . . I-LC
19 CD CD I-LC
of IN IN I-LC
Act NNP NNP I-LC
43 CD CD I-LC
of IN IN I-LC
1985 CD CD I-LC
. . . O
Section NN NN I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
prescribes VBZ VBZ O
the DT DT O
procedure NN NN O
to TO TO O
be VB VB O
followed VBN VBN O
by IN IN O
the DT DT O
District NNP NNP O
Judge NNP NNP O
in IN IN O
respect NN NN O
of IN IN O
applications NNS NNS O
under IN IN O
S NNP NNP I-LC
. . . I-LC
31 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
. . . O
Prior NNP NNP O
to TO TO O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
it PRP PRP O
by IN IN O
Act NNP NNP I-LC
43 CD CD I-LC
of IN IN I-LC
1985 CD CD I-LC
the DT DT O
said VBD VBD O
section NN NN O
read NN NN O
as IN IN O
under IN IN O
: : : O
' POS POS O
32 CD CD I-LC
. . . O
Procedure NNP NNP O
of IN IN O
district NN NN O
judge NN NN O
in IN IN O
respect NN NN O
of IN IN O
applications NNS NNS O

the DT DT O
Act NNP NNP O
prescribes VBZ VBZ O
the DT DT O
procedure NN NN O
to TO TO O
be VB VB O
followed VBN VBN O
by IN IN O
the DT DT O
District NNP NNP O
Judge NNP NNP O
in IN IN O
respect NN NN O
of IN IN O
applications NNS NNS O
under IN IN O
S NNP NNP I-LC
. . . I-LC
31 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
. . . O
Prior NNP NNP O
to TO TO O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
it PRP PRP O
by IN IN O
Act NNP NNP I-LC
43 CD CD I-LC
of IN IN I-LC
1985 CD CD I-LC
the DT DT O
said VBD VBD O
section NN NN O
read NN NN O
as IN IN O
under IN IN O
: : : O
' POS POS O
32 CD CD I-LC
. . . O
Procedure NNP NNP O
of IN IN O
district NN NN O
judge NN NN O
in IN IN O
respect NN NN O
of IN IN O
applications NNS NNS O
under IN IN O
Section NN NN I-LC
31 CD CD I-LC
.- CD CD O
( ( ( O
1 CD CD O
) ) ) O
When WRB WRB O
the DT DT O
application NN NN O
is VBZ VBZ O
for IN IN O
the DT DT O
reliefs NNS NNS O
mentioned VBN VBN O
in IN IN O
Clauses NNP NNP O
( ( ( O
a DT DT O
) ) ) O
and CC CC O
( ( ( O
c SYM SYM O
) ) ) O
of IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
the DT DT O
District NNP NNP O
Judge NNP NNP O
shall MD MD O
pass VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
attaching VBG VBG O
the DT DT O
security NN NN O
or CC CC O
so RB RB O
much JJ JJ O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
as IN IN O
would MD MD O
on IN IN O
being VBG VBG O
sold VBN VBN O

under IN IN O
Section NN NN I-LC
31 CD CD I-LC
.- CD CD O
( ( ( O
1 CD CD O
) ) ) O
When WRB WRB O
the DT DT O
application NN NN O
is VBZ VBZ O
for IN IN O
the DT DT O
reliefs NNS NNS O
mentioned VBN VBN O
in IN IN O
Clauses NNP NNP O
( ( ( O
a DT DT O
) ) ) O
and CC CC O
( ( ( O
c SYM SYM O
) ) ) O
of IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
the DT DT O
District NNP NNP O
Judge NNP NNP O
shall MD MD O
pass VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
attaching VBG VBG O
the DT DT O
security NN NN O
or CC CC O
so RB RB O
much JJ JJ O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
as IN IN O
would MD MD O
on IN IN O
being VBG VBG O
sold VBN VBN O
realise NN NN O
in IN IN O
his PRP$ PRP$ O
estimate NN NN O
an DT DT O
amount NN NN O
equivalent NN NN O
in IN IN O
value NN NN O
to TO TO O
the DT DT O
outstanding JJ JJ O
liability NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
together RB RB O
with IN IN O
the DT DT O
costs NNS NNS O
of IN IN O
the DT DT O
proceedings NNS NNS O
taken VBN VBN O
under IN IN O
Section NN NN I-LC
31 CD CD I-LC
with IN IN O
or CC CC O
without IN IN O
an DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
restraining VBG VBG O
the DT DT O
industrial JJ JJ O
concern NN NN O
from IN IN O
transferring VBG VBG O
or CC CC O
removing VBG VBG O
its PRP$ PRP$ O
machinery NN NN O
plant NN NN O

realise NN NN O
in IN IN O
his PRP$ PRP$ O
estimate NN NN O
an DT DT O
amount NN NN O
equivalent NN NN O
in IN IN O
value NN NN O
to TO TO O
the DT DT O
outstanding JJ JJ O
liability NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
together RB RB O
with IN IN O
the DT DT O
costs NNS NNS O
of IN IN O
the DT DT O
proceedings NNS NNS O
taken VBN VBN O
under IN IN O
Section NN NN I-LC
31 CD CD I-LC
with IN IN O
or CC CC O
without IN IN O
an DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
restraining VBG VBG O
the DT DT O
industrial JJ JJ O
concern NN NN O
from IN IN O
transferring VBG VBG O
or CC CC O
removing VBG VBG O
its PRP$ PRP$ O
machinery NN NN O
plant NN NN O
or CC CC O
equipment NN NN O
. . . O
( ( ( O
2 CD CD O
) ) ) O
When WRB WRB O
the DT DT O
application NN NN O
is VBZ VBZ O
for IN IN O
the DT DT O
relief NN NN O
mentioned VBN VBN O
in IN IN O
Clause NN NN O
( ( ( O
b SYM SYM O
) ) ) O
of IN IN O
subsection NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
grant VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
restraining VBG VBG O
the DT DT O
industrial JJ JJ O
concern NN NN O
from IN IN O
transferring VBG VBG O
or CC CC O
removing VBG VBG O
its PRP$ PRP$ O
machinery NN NN O
plant NN NN O
or CC CC O
equipment NN NN O
and CC CC O
issue VB VB O
a DT DT O
notice NN NN O
calling VBG VBG O
upon IN IN O
the DT DT O
industrial JJ JJ O

or CC CC O
equipment NN NN O
. . . O
( ( ( O
2 CD CD O
) ) ) O
When WRB WRB O
the DT DT O
application NN NN O
is VBZ VBZ O
for IN IN O
the DT DT O
relief NN NN O
mentioned VBN VBN O
in IN IN O
Clause NN NN O
( ( ( O
b SYM SYM O
) ) ) O
of IN IN O
subsection NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
grant VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
restraining VBG VBG O
the DT DT O
industrial JJ JJ O
concern NN NN O
from IN IN O
transferring VBG VBG O
or CC CC O
removing VBG VBG O
its PRP$ PRP$ O
machinery NN NN O
plant NN NN O
or CC CC O
equipment NN NN O
and CC CC O
issue VB VB O
a DT DT O
notice NN NN O
calling VBG VBG O
upon IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
show VB VB O
cause NN NN O
on IN IN O
a DT DT O
date NN NN O
to TO TO O
be VB VB O
specified VBN VBN O
in IN IN O
the DT DT O
notice NN NN O
why WRB WRB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
should MD MD O
not RB RB O
be VB VB O
transferred VBN VBN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
. . . O
( ( ( O
3 CD CD O
) ) ) O
Before IN IN O
passing VBG VBG O
any DT DT O
order NN NN O
under IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
or CC CC O
sub-section JJ JJ O
( ( ( O
2 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
if IN IN O
he PRP PRP O
thinks VBZ VBZ O
fit VB VB O
examine NN NN O
the DT DT O
officer NN NN O

concern NN NN O
to TO TO O
show VB VB O
cause NN NN O
on IN IN O
a DT DT O
date NN NN O
to TO TO O
be VB VB O
specified VBN VBN O
in IN IN O
the DT DT O
notice NN NN O
why WRB WRB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
should MD MD O
not RB RB O
be VB VB O
transferred VBN VBN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
. . . O
( ( ( O
3 CD CD O
) ) ) O
Before IN IN O
passing VBG VBG O
any DT DT O
order NN NN O
under IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
or CC CC O
sub-section JJ JJ O
( ( ( O
2 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
if IN IN O
he PRP PRP O
thinks VBZ VBZ O
fit VB VB O
examine NN NN O
the DT DT O
officer NN NN O
making VBG VBG O
the DT DT O
application NN NN O
. . . O
( ( ( O
4 CD CD O
) ) ) O
At IN IN O
the DT DT O
same JJ JJ O
time NN NN O
as IN IN O
he PRP PRP O
passes VBZ VBZ O
an DT DT O
order NN NN O
under IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
issue VB VB O
to TO TO O
the DT DT O
industrial JJ JJ O
concern NN NN O
a DT DT O
notice NN NN O
accompanied VBN VBN O
by IN IN O
copies NNS NNS O
of IN IN O
the DT DT O
order NN NN O
the DT DT O
application NN NN O
and CC CC O
the DT DT O
evidence NN NN O
if IN IN O
any DT DT O
recorded VBN VBN O
by IN IN O
him PRP PRP O
calling VBG VBG O
upon IN IN O
it PRP PRP O
to TO TO O
show VB VB O
cause NN NN O
on IN IN O

making VBG VBG O
the DT DT O
application NN NN O
. . . O
( ( ( O
4 CD CD O
) ) ) O
At IN IN O
the DT DT O
same JJ JJ O
time NN NN O
as IN IN O
he PRP PRP O
passes VBZ VBZ O
an DT DT O
order NN NN O
under IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
issue VB VB O
to TO TO O
the DT DT O
industrial JJ JJ O
concern NN NN O
a DT DT O
notice NN NN O
accompanied VBN VBN O
by IN IN O
copies NNS NNS O
of IN IN O
the DT DT O
order NN NN O
the DT DT O
application NN NN O
and CC CC O
the DT DT O
evidence NN NN O
if IN IN O
any DT DT O
recorded VBN VBN O
by IN IN O
him PRP PRP O
calling VBG VBG O
upon IN IN O
it PRP PRP O
to TO TO O
show VB VB O
cause NN NN O
on IN IN O
a DT DT O
date NN NN O
to TO TO O
be VB VB O
specified VBN VBN O
in IN IN O
the DT DT O
notice NN NN O
why WRB WRB O
the DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
of IN IN O
attachment NN NN O
should MD MD O
not RB RB O
be VB VB O
made VBN VBN O
absolute JJ JJ O
or CC CC O
the DT DT O
injunction NN NN O
confirmed VBD VBD O
. . . O
( ( ( O
5 CD CD O
) ) ) O
If IN IN O
no DT DT O
cause NN NN O
is VBZ VBZ O
shown VBN VBN O
on IN IN O
or CC CC O
before IN IN O
the DT DT O
date NN NN O
specified VBD VBD O
in IN IN O
the DT DT O
notice NN NN O
under IN IN O
sub-sections JJ JJ O
( ( ( O
2 CD CD O
) ) ) O
and CC CC O
( ( ( O
4 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
forthwith NN NN O
make NN NN O

a DT DT O
date NN NN O
to TO TO O
be VB VB O
specified VBN VBN O
in IN IN O
the DT DT O
notice NN NN O
why WRB WRB O
the DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
of IN IN O
attachment NN NN O
should MD MD O
not RB RB O
be VB VB O
made VBN VBN O
absolute JJ JJ O
or CC CC O
the DT DT O
injunction NN NN O
confirmed VBD VBD O
. . . O
( ( ( O
5 CD CD O
) ) ) O
If IN IN O
no DT DT O
cause NN NN O
is VBZ VBZ O
shown VBN VBN O
on IN IN O
or CC CC O
before IN IN O
the DT DT O
date NN NN O
specified VBD VBD O
in IN IN O
the DT DT O
notice NN NN O
under IN IN O
sub-sections JJ JJ O
( ( ( O
2 CD CD O
) ) ) O
and CC CC O
( ( ( O
4 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
forthwith NN NN O
make VB VB O
the DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
absolute JJ JJ O
and CC CC O
direct JJ JJ O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
or CC CC O
transfer VB VB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
or CC CC O
confirm NN NN O
the DT DT O
injunction NN NN O
. . . O
( ( ( O
6 CD CD O
) ) ) O
If IN IN O
cause NN NN O
is VBZ VBZ O
shown VBN VBN O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
proceed VB VB O
to TO TO O
investigate VB VB O
the DT DT O
claim NN NN O
of IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
in IN IN O
accordance NN NN O
with IN IN O

the DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
absolute JJ JJ O
and CC CC O
direct JJ JJ O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
or CC CC O
transfer VB VB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
or CC CC O
confirm NN NN O
the DT DT O
injunction NN NN O
. . . O
( ( ( O
6 CD CD O
) ) ) O
If IN IN O
cause NN NN O
is VBZ VBZ O
shown VBN VBN O
the DT DT O
district NN NN O
Judge NNP NNP O
shall MD MD O
proceed VB VB O
to TO TO O
investigate VB VB O
the DT DT O
claim NN NN O
of IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
in IN IN O
accordance NN NN O
with IN IN O
the DT DT O
provisions NNS NNS O
contained VBD VBD O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O
Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
such JJ JJ O
provisions NNS NNS O
may MD MD O
be VB VB O
applied VBN VBN O
thereto NN NN O
. . . O
( ( ( O
7 CD CD O
) ) ) O
After IN IN O
making VBG VBG O
an DT DT O
investigation NN NN O
under IN IN O
sub-section JJ JJ O
( ( ( O
6 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
- - - O
( ( ( O
a DT DT O
) ) ) O
confirm NN NN O
the DT DT O
order NN NN O
of IN IN O
attachment NN NN O
and CC CC O
direct VB VB O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
; : : O
( ( ( O
b SYM SYM O
) ) ) O
vary JJ JJ O
the DT DT O
order NN NN O

the DT DT O
provisions NNS NNS O
contained VBD VBD O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O
Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
such JJ JJ O
provisions NNS NNS O
may MD MD O
be VB VB O
applied VBN VBN O
thereto NN NN O
. . . O
( ( ( O
7 CD CD O
) ) ) O
After IN IN O
making VBG VBG O
an DT DT O
investigation NN NN O
under IN IN O
sub-section JJ JJ O
( ( ( O
6 CD CD O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
- - - O
( ( ( O
a DT DT O
) ) ) O
confirm NN NN O
the DT DT O
order NN NN O
of IN IN O
attachment NN NN O
and CC CC O
direct VB VB O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
; : : O
( ( ( O
b SYM SYM O
) ) ) O
vary JJ JJ O
the DT DT O
order NN NN O
of IN IN O
attachment NN NN O
so RB RB O
as IN IN O
to TO TO O
release VB VB O
a DT DT O
portion NN NN O
of IN IN O
the DT DT O
property NN NN O
from IN IN O
attachment NN NN O
and CC CC O
direct VB VB O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
remainder NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
; : : O
( ( ( O
c SYM SYM O
) ) ) O
release NN NN O
the DT DT O
property NN NN O
from IN IN O
attachment NN NN O
; : : O
( ( ( O
d SYM SYM O
) ) ) O
confirm NN NN O
or CC CC O
dissolve VB VB O
the DT DT O
injunction NN NN O
; : : O
or CC CC O
( ( ( O
e SYM SYM O
) ) ) O
transfer VB VB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
or CC CC O

of IN IN O
attachment NN NN O
so RB RB O
as IN IN O
to TO TO O
release VB VB O
a DT DT O
portion NN NN O
of IN IN O
the DT DT O
property NN NN O
from IN IN O
attachment NN NN O
and CC CC O
direct VB VB O
the DT DT O
sale NN NN O
of IN IN O
the DT DT O
remainder NN NN O
of IN IN O
the DT DT O
attached JJ JJ O
property NN NN O
; : : O
( ( ( O
c SYM SYM O
) ) ) O
release NN NN O
the DT DT O
property NN NN O
from IN IN O
attachment NN NN O
; : : O
( ( ( O
d SYM SYM O
) ) ) O
confirm NN NN O
or CC CC O
dissolve VB VB O
the DT DT O
injunction NN NN O
; : : O
or CC CC O
( ( ( O
e SYM SYM O
) ) ) O
transfer VB VB O
the DT DT O
management NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
or CC CC O
reject VB VB O
the DT DT O
claim NN NN O
made VBN VBN O
in IN IN O
this DT DT O
behalf NN NN O
: : : O
Provided VBN VBN O
that IN IN O
when WRB WRB O
making VBG VBG O
an DT DT O
order NN NN O
under IN IN O
Clause NN NN O
( ( ( O
c SYM SYM O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
make VB VB O
such JJ JJ O
further RB RB O
orders NNS NNS O
as IN IN O
he PRP PRP O
thinks VBZ VBZ O
necessary JJ JJ O
to TO TO O
protect VB VB O
the DT DT O
interests NNS NNS O
of IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
and CC CC O
may MD MD O
apportion NN NN O
the DT DT O
costs NNS NNS O
of IN IN O
the DT DT O
proceedings NNS NNS O
in IN IN O
such JJ JJ O
manner NN NN O
as IN IN O
he PRP PRP O

reject VB VB O
the DT DT O
claim NN NN O
made VBN VBN O
in IN IN O
this DT DT O
behalf NN NN O
: : : O
Provided VBN VBN O
that IN IN O
when WRB WRB O
making VBG VBG O
an DT DT O
order NN NN O
under IN IN O
Clause NN NN O
( ( ( O
c SYM SYM O
) ) ) O
the DT DT O
district NN NN O
Judge NNP NNP O
may MD MD O
make VB VB O
such JJ JJ O
further RB RB O
orders NNS NNS O
as IN IN O
he PRP PRP O
thinks VBZ VBZ O
necessary JJ JJ O
to TO TO O
protect VB VB O
the DT DT O
interests NNS NNS O
of IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
and CC CC O
may MD MD O
apportion NN NN O
the DT DT O
costs NNS NNS O
of IN IN O
the DT DT O
proceedings NNS NNS O
in IN IN O
such JJ JJ O
manner NN NN O
as IN IN O
he PRP PRP O
thinks VBZ VBZ O
fit VB VB O
: : : O
Provided VBN VBN O
further RBR RBR O
that IN IN O
unless IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
intimates NNS NNS O
to TO TO O
the DT DT O
district NN NN O
judge NN NN O
that IN IN O
it PRP PRP O
will MD MD O
not RB RB O
appeal VB VB O
against IN IN O
any DT DT O
order NN NN O
releasing VBG VBG O
any DT DT O
property NN NN O
from IN IN O
attachment NN NN O
such JJ JJ O
order NN NN O
shall MD MD O
not RB RB O
be VB VB O
given VBN VBN O
effect NN NN O
to TO TO O
until IN IN O
the DT DT O
expiry NN NN O
of IN IN O
the DT DT O
period NN NN O
fixed VBN VBN O
under IN IN O
sub-section JJ JJ O
( ( ( O
9 CD CD O
) ) ) O
within IN IN O
which WDT WDT O
an DT DT O
appeal NN NN O

thinks VBZ VBZ O
fit VB VB O
: : : O
Provided VBN VBN O
further RBR RBR O
that IN IN O
unless IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
intimates NNS NNS O
to TO TO O
the DT DT O
district NN NN O
judge NN NN O
that IN IN O
it PRP PRP O
will MD MD O
not RB RB O
appeal VB VB O
against IN IN O
any DT DT O
order NN NN O
releasing VBG VBG O
any DT DT O
property NN NN O
from IN IN O
attachment NN NN O
such JJ JJ O
order NN NN O
shall MD MD O
not RB RB O
be VB VB O
given VBN VBN O
effect NN NN O
to TO TO O
until IN IN O
the DT DT O
expiry NN NN O
of IN IN O
the DT DT O
period NN NN O
fixed VBN VBN O
under IN IN O
sub-section JJ JJ O
( ( ( O
9 CD CD O
) ) ) O
within IN IN O
which WDT WDT O
an DT DT O
appeal NN NN O
may MD MD O
be VB VB O
preferred VBN VBN O
or CC CC O
if IN IN O
an DT DT O
appeal NN NN O
is VBZ VBZ O
preferred VBN VBN O
unless IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
otherwise RB RB O
directs VBZ VBZ O
until IN IN O
the DT DT O
appeal NN NN O
is VBZ VBZ O
disposed VBN VBN O
of IN IN O
. . . O
( ( ( O
8 CD CD O
) ) ) O
An DT DT O
order NN NN O
of IN IN O
attachment NN NN O
or CC CC O
sale NN NN O
of IN IN O
property NN NN O
under IN IN O
this DT DT O
section NN NN O
shall MD MD O
be VB VB O
carried VBN VBN O
into IN IN O
effect NN NN O
as RB RB O
far RB RB O
as IN IN O
practicable JJ JJ O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O

may MD MD O
be VB VB O
preferred VBN VBN O
or CC CC O
if IN IN O
an DT DT O
appeal NN NN O
is VBZ VBZ O
preferred VBN VBN O
unless IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
otherwise RB RB O
directs VBZ VBZ O
until IN IN O
the DT DT O
appeal NN NN O
is VBZ VBZ O
disposed VBN VBN O
of IN IN O
. . . O
( ( ( O
8 CD CD O
) ) ) O
An DT DT O
order NN NN O
of IN IN O
attachment NN NN O
or CC CC O
sale NN NN O
of IN IN O
property NN NN O
under IN IN O
this DT DT O
section NN NN O
shall MD MD O
be VB VB O
carried VBN VBN O
into IN IN O
effect NN NN O
as RB RB O
far RB RB O
as IN IN O
practicable JJ JJ O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O
Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
for IN IN O
the DT DT O
attachment NN NN O
or CC CC O
sale NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
as IN IN O
if IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
were VBD VBD O
the DT DT O
decree-holder JJ JJ O
. . . O
( ( ( O
8A CD CD O
) ) ) O
An DT DT O
order NN NN O
under IN IN O
this DT DT O
section NN NN O
transferring VBG VBG O
the DT DT O
management NN NN O
of IN IN O
an DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
shall MD MD O
be VB VB O
carried VBN VBN O
into IN IN O
effect NN NN O
as RB RB O
far RB RB O
as IN IN O
may MD MD O
be VB VB O

Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
for IN IN O
the DT DT O
attachment NN NN O
or CC CC O
sale NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
as IN IN O
if IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
were VBD VBD O
the DT DT O
decree-holder JJ JJ O
. . . O
( ( ( O
8A CD CD O
) ) ) O
An DT DT O
order NN NN O
under IN IN O
this DT DT O
section NN NN O
transferring VBG VBG O
the DT DT O
management NN NN O
of IN IN O
an DT DT O
industrial JJ JJ O
concern NN NN O
to TO TO O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
shall MD MD O
be VB VB O
carried VBN VBN O
into IN IN O
effect NN NN O
as RB RB O
far RB RB O
as IN IN O
may MD MD O
be VB VB O
practicable JJ JJ O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O
Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
for IN IN O
the DT DT O
possession NN NN O
of IN IN O
immovable JJ JJ O
property NN NN O
or CC CC O
the DT DT O
delivery NN NN O
of IN IN O
movable JJ JJ O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
as IN IN O
if IN IN O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
were VBD VBD O
the DT DT O
decree-holder JJ JJ O
. . . O
( ( ( O
9 CD CD O
) ) ) O
Any DT DT O
party NN NN O
aggrieved VBN VBN O
by IN IN O
an DT DT O
order NN NN O
under IN IN O
sub-section NN NN O
( ( ( O
5 CD CD O
) ) ) O
or CC CC O
sub-section JJ JJ O
( ( ( O
7 CD CD O
) ) ) O

practicable JJ JJ O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
in IN IN O
the DT DT O
Code NNP NNP O
of IN IN O
Civil NNP NNP O
Procedure NNP NNP O
1908 CD CD O
for IN IN O
the DT DT O
possession NN NN O
of IN IN O
immovable JJ JJ O
property NN NN O
or CC CC O
